Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
15,15,Apr 14,,NYM,W7-3,41,33,7,10,1,1,3,7,8,0,12,0,0,0,0,1,3,0,0.270,0.369,0.461,0.830,10,15,R,J.deGrom(50)
16,16,Apr 16,,ARI,L6-9,39,33,6,10,4,0,2,6,5,1,8,0,1,0,0,1,0,1,0.272,0.371,0.470,0.841,6,17,L,R.Ray(38)
17,17,Apr 17,,ARI,L2-3,41,36,2,7,2,0,0,2,4,0,10,0,0,0,0,1,0,0,0.267,0.365,0.456,0.821,9,15,R,Z.Godley(56)
18,18,Apr 18,,ARI,L1-4,37,34,1,7,0,0,1,1,1,0,16,2,0,0,0,0,0,0,0.263,0.360,0.447,0.807,9,16,R,L.Weaver(67)
19,19,Apr 20 (1),@,CLE,L4-8,36,32,4,6,1,0,2,4,2,0,9,1,0,1,0,0,0,0,0.259,0.355,0.445,0.799,5,11,R,C.Kluber(57)
20,20,Apr 20 (2),@,CLE,W8-7,42,35,8,9,2,1,1,8,7,0,13,0,0,0,0,0,0,1,0.259,0.356,0.445,0.801,7,9,R,T.Bauer(67)
21,21,Apr 21,@,CLE,W11-5,48,44,11,17,5,0,2,11,3,0,7,1,0,0,1,0,0,0,0.267,0.361,0.457,0.818,10,11,R,S.Bieber(23)
22,22,Apr 23,@,CIN,L6-7,39,36,6,10,4,1,0,6,1,0,14,0,0,2,1,0,2,0,0.268,0.357,0.456,0.814,6,15,R,S.Gray(49)
23,23,Apr 24,@,CIN,W3-1,42,33,3,8,1,0,1,2,7,1,4,1,1,0,0,1,0,0,0.267,0.359,0.453,0.811,12,14,R,T.Roark(50)
24,24,Apr 25,@,CIN,L2-4,37,36,2,11,1,0,1,2,1,0,7,0,0,0,0,1,0,0,0.268,0.357,0.451,0.808,8,12,R,L.Castillo(58)
25,25,Apr 26,,COL,L4-8,39,35,4,10,2,0,2,4,3,0,7,1,0,0,0,1,0,0,0.269,0.358,0.454,0.811,8,16,R,A.Senzatela(44)
26,26,Apr 27,,COL,L5-9,38,34,5,9,3,0,2,5,4,0,6,0,0,0,0,1,1,0,0.269,0.357,0.456,0.813,6,13,R,J.Gray(29)
27,27,Apr 28,,COL,W8-7,41,34,8,10,2,1,4,8,6,0,10,0,0,1,1,0,0,0,0.270,0.358,0.468,0.826,9,17,L,T.Anderson(41)
28,28,Apr 29,,SDP,W3-1,36,32,3,6,0,0,1,2,4,0,3,0,0,0,1,0,0,0,0.267,0.356,0.462,0.817,9,15,L,N.Margevicius(53)
29,29,Apr 30,,SDP,L3-4,36,34,3,8,1,0,0,3,1,0,9,1,0,0,0,0,0,1,0.266,0.353,0.455,0.808,6,14,R,C.Paddack(60)
30,30,May 1,,SDP,W5-1,34,31,5,8,4,1,1,5,2,0,4,0,0,1,0,1,0,0,0.266,0.351,0.458,0.809,5,14,R,C.Quantrill(51)
31,31,May 2,,SDP,L2-11,37,36,2,10,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0.266,0.350,0.452,0.801,8,16,L,M.Strahm(54)
32,32,May 3,@,MIA,W7-2,40,34,7,10,1,0,2,7,4,1,7,0,1,1,0,1,0,0,0.267,0.350,0.453,0.803,6,15,R,J.Urena(41)
33,33,May 4,@,MIA,W9-2,47,41,9,12,2,0,1,9,6,1,6,0,0,0,2,0,0,0,0.268,0.351,0.452,0.803,11,13,R,T.Richards(59)
34,34,May 5,@,MIA,W3-1,39,34,3,6,2,0,1,3,4,0,9,0,0,1,0,1,0,0,0.265,0.348,0.448,0.796,6,16,R,P.Lopez(71)
35,35,May 6,@,LAD,L3-5,32,32,3,5,0,0,2,3,0,0,10,0,0,0,0,0,2,0,0.262,0.344,0.445,0.789,2,14,R,W.Buehler(63)
36,36,May 7,@,LAD,L0-9,30,30,0,4,1,0,0,0,0,0,6,0,0,0,0,1,0,0,0.259,0.339,0.438,0.778,3,15,L,H.Ryu(85)
37,37,May 8,@,LAD,L4-9,38,37,4,11,2,0,1,4,1,0,7,0,0,0,0,1,1,0,0.260,0.339,0.438,0.777,7,13,L,C.Kershaw(43)
38,38,May 9,@,ARI,L2-3,37,33,2,5,2,0,1,2,2,0,9,2,0,0,0,1,0,0,0.258,0.336,0.435,0.771,5,16,R,L.Weaver(71)
39,39,May 10,@,ARI,W2-1,33,32,2,7,1,1,1,2,1,0,8,0,0,0,0,0,0,1,0.257,0.334,0.434,0.768,4,13,R,Z.Greinke(70)
40,40,May 11,@,ARI,W6-4,39,38,6,13,1,1,2,6,1,0,6,0,0,0,0,1,0,1,0.259,0.335,0.438,0.773,6,14,R,M.Kelly(54)
41,41,May 12,@,ARI,W5-3,39,37,5,12,0,2,0,5,1,0,7,1,0,0,0,1,0,0,0.261,0.335,0.438,0.773,7,15,R,Z.Godley(46)
42,42,May 14,,STL,L3-14,35,27,3,3,0,0,0,3,6,0,11,0,1,1,0,1,0,0,0.258,0.334,0.432,0.766,5,15,R,J.Flaherty(55)
43,43,May 15,,STL,W4-0,34,30,4,6,1,0,2,3,4,0,10,0,0,0,0,0,2,0,0.257,0.333,0.432,0.765,6,13,R,M.Wacha(53)
