"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Alec Mills","Cubs","0","0","0","4","4","20.0","11.70","2.70","0.90",".354","88.2%","50.0%","12.5%","2.70","3.56","3.86","0.4","13834"
"Justus Sheffield","Mariners","0","1","0","7","7","33.0","9.27","3.82","1.09",".384","73.0%","52.0%","13.8%","5.45","4.27","4.45","0.4","17285"
"Tommy Milone","Mariners","1","3","0","6","6","31.0","9.87","2.32","1.74",".296","71.0%","32.9%","16.2%","4.65","4.31","4.17","0.4","7608"
"Shaun Anderson","Giants","3","4","0","16","16","82.2","5.99","3.38","1.31",".317","68.9%","43.5%","15.8%","5.33","4.97","4.91","0.4","19453"
"Matt Strahm","Padres","3","7","0","16","16","81.2","8.93","1.87","2.09",".307","73.8%","33.6%","17.9%","5.29","5.06","4.62","0.4","13799"
"Rogelio Armenteros","Astros","1","1","0","2","2","9.0","9.00","3.00","0.00",".346","50.0%","32.0%","0.0%","6.00","2.21","3.98","0.4","17679"
"Daniel Ponce de Leon","Cardinals","0","2","0","8","8","34.2","8.05","4.93","1.04",".258","73.7%","46.9%","12.1%","4.15","4.74","5.14","0.4","16110"
"Wilmer Font","- - -","0","4","0","17","17","34.2","10.38","3.89","1.82",".291","75.9%","31.5%","15.2%","4.93","4.92","4.93","0.4","5257"
"Chad Green","Yankees","0","1","0","15","15","19.1","14.90","3.72","1.86",".368","84.8%","35.7%","25.0%","3.72","4.15","3.10","0.4","15552"
"CC Sabathia","Yankees","5","8","0","22","22","106.1","8.89","3.30","2.29",".292","77.5%","39.6%","21.4%","4.99","5.72","4.78","0.4","404"
"Elieser Hernandez","Marlins","3","4","0","15","15","74.2","9.40","2.65","2.05",".254","76.2%","32.8%","16.8%","4.58","5.33","5.06","0.3","16933"
"Freddy Peralta","Brewers","2","2","0","8","8","35.2","11.61","2.78","2.27",".373","59.1%","30.3%","20.0%","7.07","5.01","4.24","0.3","18679"
"Andrew Kittredge","Rays","0","0","0","7","7","11.2","15.43","2.31","1.54",".500","58.1%","46.9%","40.0%","6.94","2.79","1.41","0.3","12828"
"Anthony Kay","Blue Jays","0","0","0","2","2","10.0","9.00","3.60","0.00",".367","56.3%","53.3%","0.0%","6.30","2.71","3.71","0.3","20387"
"Mike Montgomery","Royals","2","7","0","13","13","64.0","7.17","2.95","1.69",".346","76.6%","51.5%","21.8%","4.64","5.23","4.50","0.3","4869"
"Tyler Chatwood","Cubs","1","1","0","5","5","22.2","8.34","4.76","0.79",".317","75.3%","45.2%","13.3%","3.97","4.49","4.66","0.3","4338"
"Austin Pruitt","Rays","0","0","0","2","2","10.1","8.71","0.87","0.87",".259","100.0%","51.9%","11.1%","0.87","2.83","3.30","0.3","15290"
"Aaron Brooks","- - -","5","8","0","18","18","82.0","6.48","3.07","1.87",".318","64.4%","43.8%","16.5%","6.59","5.71","5.52","0.3","12272"
"Logan Allen","Padres","2","2","0","4","4","19.1","6.05","4.19","0.47",".375","59.5%","54.0%","9.1%","6.98","4.09","4.55","0.3","18555"
"Lucas Sims","Reds","1","1","0","4","4","16.2","9.18","2.16","1.62",".262","47.3%","20.9%","12.5%","6.48","4.41","4.94","0.3","13470"
"Taylor Cole","Angels","0","2","0","6","6","7.1","9.82","3.68","0.00",".500","40.0%","41.7%","0.0%","11.05","2.26","3.07","0.3","11964"
"Drew VerHagen","Tigers","2","2","0","4","4","19.2","10.07","2.75","1.83",".414","68.0%","48.4%","19.0%","5.95","4.69","4.17","0.3","13424"
"Sean Newcomb","Braves","0","0","0","4","4","15.0","4.80","6.00","0.00",".346","71.4%","44.2%","0.0%","3.60","4.15","6.80","0.3","16943"
"Tanner Anderson","Athletics","0","3","0","5","5","22.1","7.25","2.82","1.61",".342","66.9%","53.2%","19.0%","6.04","4.87","4.41","0.2","18029"
"Yusei Kikuchi","Mariners","6","11","0","32","32","161.2","6.46","2.78","2.00",".310","70.8%","44.0%","18.8%","5.46","5.71","5.18","0.2","20633"
